theta,mu,source_current_a,max_abs_sin_phi,max_abs_phi,min_cos_phi,strongest_branch,state_norm,pump_node_flux,time_s
0.0,1.1299598687329626e-05,1.1299598687329626e-05,0.7518638411391109,0.8508844618709706,0.6593184089554469,1829,6.329023969844416,-9.866573179775453e-18,0.0
0.1,1.1243149980543993e-05,1.1243149980543993e-05,0.752929864076434,0.8525028119359425,0.6581007671943884,1830,6.295971619690276,5.600872532981236e-16,2.0146195328088018e-12
0.2,1.1074367763520012e-05,1.1074367763520012e-05,0.7535929637294329,0.853510989476006,0.6573413458907705,1727,6.268796678825514,1.1216952910631405e-15,4.0292390656176035e-12
0.30000000000000004,1.0794938117643083e-05,1.0794938117643083e-05,0.7510943038549974,0.8497180663921897,0.66019493084738,1727,6.247214655231347,1.6693243101316558e-15,6.043858598426406e-12
0.4,1.0407652463041319e-05,1.0407652463041319e-05,0.7449996869116119,0.8405343717455339,0.6670648143183691,1728,6.23074145473183,2.197472817610111e-15,8.058478131235207e-12
0.5,9.916379677786028e-06,9.916379677786028e-06,0.7403298381137303,0.8335608783882257,0.6722438030941587,1688,6.218732083562967,2.7008356543612514e-15,1.0073097664044008e-11
0.6,9.326027455205817e-06,9.326027455205817e-06,0.7302425823832719,0.8186769574393786,0.6831879469620423,1688,6.21041387770479,3.1743635048447758e-15,1.208771719685281e-11
0.7,8.642493285214623e-06,8.642493285214623e-06,0.7229967834175312,0.8081303426859188,0.6908513958644823,1689,6.204915612861989,3.613315890573956e-15,1.4102336729661611e-11
0.7999999999999999,7.872605549176293e-06,7.872605549176293e-06,0.7175657022635487,0.8003009068821401,0.6964908204240887,2395,6.201296350310305,4.013307467631436e-15,1.611695626247041e-11
0.8999999999999999,7.02405531656282e-06,7.02405531656282e-06,0.7105195309070339,0.7902362426940974,0.7036774802419419,2395,6.198576293337459,4.370348210075898e-15,1.8131575795279214e-11
0.9999999999999999,6.105319524524312e-06,6.105319524524312e-06,0.7059615431895796,0.7837798610346116,0.708250167340176,2396,6.195768951579853,4.6808784915153315e-15,2.0146195328088014e-11
1.0999999999999999,5.125576307548673e-06,5.125576307548673e-06,0.7023700920863128,0.778721711254591,0.7118119511097466,1631,6.1919121849380625,4.9418001415554885e-15,2.2160814860896816e-11
1.2,4.094613322788811e-06,4.094613322788811e-06,0.707941443486032,0.7865792519009234,0.7062711324943937,1591,6.186096086864589,5.150504303976858e-15,2.417543439370562e-11
1.3,3.0227299865917055e-06,3.0227299865917055e-06,0.7070697413764877,0.7853457825675657,0.7071438190564822,1591,6.177487180933027,5.30489646869013e-15,2.6190053926514422e-11
1.4000000000000001,1.9206345985784907e-06,1.9206345985784907e-06,0.7017743393144175,0.7778851039990852,0.7123993098535489,1488,6.1653495859351475,5.4034185233838315e-15,2.8204673459323225e-11
1.5000000000000002,7.993373806905117e-07,7.993373806905117e-07,0.6985657860263967,0.7733911668212108,0.7155458354244838,1489,6.149063995605247,5.445067201786241e-15,3.021929299213203e-11
1.6000000000000003,-3.299595005770649e-07,-3.299595005770649e-07,0.6934617897880261,0.766282761139551,0.7204934046221294,1489,6.1281448472844335,5.429407993168749e-15,3.2233912524940835e-11
1.7000000000000004,-1.4559738303924795e-06,-1.4559738303924795e-06,0.6841506357790587,0.753438497446431,0.7293407348853551,1386,6.102255599902157,5.356583476371685e-15,3.424853205774964e-11
1.8000000000000005,-2.5674560427215577e-06,-2.5674560427215577e-06,0.6795120577594809,0.7470973540601502,0.7336643397082047,2193,6.071221977219839,5.227315154333069e-15,3.626315159055844e-11
1.9000000000000006,-3.65330159283201e-06,-3.65330159283201e-06,0.6737045195895571,0.7392102821020275,0.7390008256318825,2194,6.035043208287771,5.042898150021165e-15,3.8277771123367243e-11
2.0000000000000004,-4.702661882847536e-06,-4.702661882847536e-06,0.6692023372671442,0.7331348134904792,0.7430802324084469,2131,5.993901274748004,4.805188511094303e-15,4.029239065617604e-11
2.1000000000000005,-5.705052632465398e-06,-5.705052632465398e-06,0.6710730955529347,0.7356552490663489,0.7413911925731259,2031,5.948167650440832,4.516583279092425e-15,4.230701018898484e-11
2.2000000000000006,-6.650458612448526e-06,-6.650458612448526e-06,0.6725016039483982,0.7375837278049516,0.7400956645507605,2031,5.8984061342145635,4.179993839471193e-15,4.4321629721793646e-11
2.3000000000000007,-7.529433694809777e-06,-7.529433694809777e-06,0.6716099724911019,0.7363796345973291,0.740904882458269,1991,5.8453696592790445,3.798813332604027e-15,4.6336249254602455e-11
2.400000000000001,-8.33319522035913e-06,-8.33319522035913e-06,0.6695067557346011,0.7335445601634069,0.7428059666061719,1992,5.789988917917501,3.3768790500263858e-15,4.835086878741126e-11
2.500000000000001,-9.053711741017896e-06,-9.053711741017896e-06,0.668813269463705,0.7326113489728299,0.7434304342635358,1992,5.733351360805844,2.918430765665378e-15,5.036548832022006e-11
2.600000000000001,-9.683783260451144e-06,-9.683783260451144e-06,0.6622911906973873,0.7238726367520261,0.7492465406824625,1992,5.676670271438291,2.428065878060746e-15,5.2380107853028864e-11
2.700000000000001,-1.0217113171469882e-05,-1.0217113171469882e-05,0.6569707419666628,0.7167936601113072,0.7539160723845675,1993,5.621244716003841,1.910692097899043e-15,5.439472738583767e-11
2.800000000000001,-1.0648371171560932e-05,-1.0648371171560932e-05,0.6513877132669695,0.7094119626839392,0.7587450474334764,1890,5.568411970339619,1.3714782421039605e-15,5.640934691864647e-11
2.9000000000000012,-1.0973246527986639e-05,-1.0973246527986639e-05,0.6471774106494554,0.7038760546645295,0.7623394251546132,1891,5.519494549968797,8.158035271797895e-16,5.842396645145527e-11
