theta,mu,source_current_a,max_abs_sin_phi,max_abs_phi,min_cos_phi,strongest_branch,state_norm,pump_node_flux,time_s
114.59999999999776,8.115826455158736e-07,8.115826455158736e-07,0.41729833631108126,0.4304704027848386,0.9087695519283223,1263,5.587856772178375,5.725741631087046e-15,2.3087539845988416e-09
114.69999999999776,-3.798724723885843e-07,-3.798724723885843e-07,0.41462311778865385,0.4275286045178842,0.9099932253567694,1264,5.61212531699561,5.708916305053072e-15,2.3107686041316504e-09
114.79999999999775,-1.5677292491821823e-06,-1.5677292491821823e-06,0.4117436098523375,0.4243665590852629,0.911299731013768,1264,5.632074676938848,5.63220889200339e-15,2.312783223664459e-09
114.89999999999775,-2.740117579974843e-06,-2.740117579974843e-06,0.41009847453818565,0.4225620311498787,0.9120412497148652,1265,5.646887990275893,5.49637458849205e-15,2.3147978431972675e-09
114.99999999999774,-3.885319955888996e-06,-3.885319955888996e-06,0.40768404265480956,0.41991631814407787,0.9131230592667297,1266,5.655953596868255,5.302758772781507e-15,2.3168124627300763e-09
115.09999999999773,-4.9918885730596645e-06,-4.9918885730596645e-06,0.40460387278212795,0.41654562270182693,0.9144920481500666,1266,5.6588833250142665,5.053283845437798e-15,2.318827082262885e-09
115.19999999999773,-6.048759766156404e-06,-6.048759766156404e-06,0.40319133650467787,0.4150015365473172,0.9151157009731455,1267,5.655524008811252,4.750430335451493e-15,2.320841701795694e-09
115.29999999999772,-7.0453646225600515e-06,-7.0453646225600515e-06,0.4010423759742415,0.4126544541496404,0.9160595028015021,1268,5.645962407894145,4.39721244576163e-15,2.3228563213285022e-09
115.39999999999772,-7.971734671299777e-06,-7.971734671299777e-06,0.3982030701669011,0.40955707174014067,0.9172972881839638,1269,5.630523592734237,3.99714826838007e-15,2.324870940861311e-09
115.49999999999771,-8.818601589884707e-06,-8.818601589884707e-06,0.3965492362940336,0.4077548336923952,0.9180134548004287,1269,5.609762722883424,3.55422495261796e-15,2.32688556039412e-09
115.5999999999977,-9.57748993176136e-06,-9.57748993176136e-06,0.39465441868627393,0.4056917103359581,0.9188296304600756,1270,5.58445001869673,3.0728591597441173e-15,2.3289001799269286e-09
115.6999999999977,-1.0240801946699585e-05,-1.0240801946699585e-05,0.3920764976095257,0.40288773783638016,0.9199326171096704,1271,5.555548646827501,2.5578531837125547e-15,2.3309147994597374e-09
115.7999999999977,-1.0801893645262208e-05,-1.0801893645262208e-05,0.398116659157741,0.4094628719167549,0.9173347947729221,1254,5.524185246680011,2.0143471605834985e-15,2.3329294189925457e-09
115.89999999999769,-1.1255141345860661e-05,-1.1255141345860661e-05,0.41795665099822976,0.4311949255973041,0.9084669712688205,1254,5.491612961183406,1.44776782919982e-15,2.3349440385253545e-09
115.99999999999768,-1.1595998037869488e-05,-1.1595998037869488e-05,0.4337385271903047,0.4486377836867083,0.9010387838660361,1254,5.459167139198412,8.637743427646067e-16,2.3369586580581633e-09
116.09999999999768,-1.1821038995918644e-05,-1.1821038995918644e-05,0.4452992440816141,0.4615084414262429,0.8953818086271036,1254,5.428214372852477,2.682016652019036e-16,2.338973277590972e-09
116.19999999999767,-1.1927996187789997e-05,-1.1927996187789997e-05,0.45250535435577066,0.46957278683916437,0.891761685810373,1254,5.4000962159175625,-3.3299788270730976e-16,2.3409878971237805e-09
116.29999999999767,-1.1915781130241727e-05,-1.1915781130241727e-05,0.4552537343333429,0.47265717229846355,0.8903617452336696,1254,5.376069747614928,-9.33814335091248e-16,2.3430025166565892e-09
116.39999999999766,-1.1784495962454158e-05,-1.1784495962454158e-05,0.45347414629029054,0.4706594665163138,0.8912694310062991,1254,5.357247991025927,-1.5282404358823262e-15,2.345017136189398e-09
116.49999999999766,-1.1535432624481135e-05,-1.1535432624481135e-05,0.4506930645007657,0.4675415741836008,0.8926789801551892,1255,5.344543903443303,-2.110332006055334e-15,2.347031755722207e-09
116.59999999999765,-1.1171060146926331e-05,-1.1171060146926331e-05,0.4469711687142549,0.46337658597465886,0.8945483633310236,1255,5.3386220361292684,-2.6742676847519628e-15,2.349046375255015e-09
116.69999999999764,-1.069500017685699e-05,-1.069500017685699e-05,0.445318470167747,0.46152991404117316,0.8953722466814891,1256,5.33986184286028,-3.2144074084583766e-15,2.351060994787824e-09
116.79999999999764,-1.011199098253152e-05,-1.011199098253152e-05,0.44236312951372075,0.4582319290730274,0.8968360282943739,1257,5.348335912291212,-3.725349006847189e-15,2.3530756143206328e-09
116.89999999999763,-9.427840294677154e-06,-9.427840294677154e-06,0.4390910416768878,0.45458671856234795,0.8984425730780491,1257,5.3638051515058685,-4.201982320698001e-15,2.3550902338534415e-09
116.99999999999763,-8.649367453658519e-06,-8.649367453658519e-06,0.43724267048940724,0.45253044446221213,0.89934356455322,1258,5.385731341830682,-4.6395402855666715e-15,2.3571048533862503e-09
117.09999999999762,-7.784335438811778e-06,-7.784335438811778e-06,0.4342786389018523,0.44923730248804494,0.9007785875527651,1259,5.413305809159255,-5.0336464721264e-15,2.3591194729190587e-09
117.19999999999762,-6.8413734574125855e-06,-6.8413734574125855e-06,0.4312115572886613,0.44583516318378763,0.902250848079783,1259,5.445491506427918,-5.380358626720657e-15,2.3611340924518675e-09
117.29999999999761,-5.829890865187721e-06,-5.829890865187721e-06,0.42933939488272255,0.4437611985427338,0.9031432245229644,1260,5.481074833787834,-5.676207809674168e-15,2.3631487119846763e-09
117.3999999999976,-4.759983277024564e-06,-4.759983277024564e-06,0.4264942916870688,0.4406133249494916,0.9044902537663662,1261,5.518723131189882,-5.918232780998439e-15,2.365163331517485e-09
117.4999999999976,-3.642331804712322e-06,-3.642331804712322e-06,0.42345795088578664,0.43725900781663335,0.9059157597876365,1261,5.557043936125366,-6.1040093314951814e-15,2.3671779510502934e-09
117.59999999999759,-2.488096427380685e-06,-2.488096427380685e-06,0.4216846784396701,0.4353024648965986,0.9067425389652963,1262,5.594642667159567,-6.23167430191744e-15,2.369192570583102e-09
117.69999999999759,-1.3088045590967479e-06,-1.3088045590967479e-06,0.4190397781677513,0.43238751121921426,0.9079678762561602,1263,5.630176184755829,-6.299944075345613e-15,2.371207190115911e-09
117.79999999999758,-1.1623592624990735e-07,-1.1623592624990735e-07,0.4159156417885548,0.428949431518462,0.909403199310193,1263,5.662400516365668,-6.308127370624679e-15,2.3732218096487198e-09
117.89999999999758,1.077695095585651e-06,1.077695095585651e-06,0.41431772840453834,0.427193034937126,0.9101323090241897,1264,5.690211779694538,-6.25613220986127e-15,2.375236429181528e-09
117.99999999999757,2.2610585100428216e-06,2.2610585100428216e-06,0.41191658989721724,0.4245563840773251,0.9112215553680937,1265,5.712679920886747,-6.14446698206733e-15,2.377251048714337e-09
118.09999999999756,3.4220279045000425e-06,3.4220279045000425e-06,0.4087826522618471,0.4211197759778293,0.912631767587437,1266,5.7290752789522505,-5.974235578391007e-15,2.3792656682471457e-09
118.19999999999756,4.548998639698017e-06,4.548998639698017e-06,0.4072448363542365,0.41943537621260474,0.9133190260050489,1266,5.738888205920433,-5.7471266312216045e-15,2.3812802877799545e-09
118.29999999999755,5.630703843306452e-06,5.630703843306452e-06,0.40510307416295316,0.4170915669817912,0.9142710207065107,1267,5.741842045347315,-5.465396948272656e-15,2.3832949073127633e-09
118.39999999999755,6.656327048056062e-06,6.656327048056062e-06,0.4022552140629094,0.4139788115065059,0.9155275761871965,1268,5.737899738210107,-5.131849291727058e-15,2.3853095268455716e-09
118.49999999999754,7.615610348382656e-06,7.615610348382656e-06,0.4004467353157207,0.4120043261338511,0.9163200380734785,1268,5.727264222709778,-4.749804710023853e-15,2.3873241463783804e-09
