f_s_GHz,f_i_GHz,k_p,k_s,k_i,dk_lin,dk_nl,dk_total,regime
4.0,11.0,79288.66868641545,40757.22529551741,124382.81679381577,-6562.704716502296,60.4,-6502.304716502296,MISMATCHED
4.1,10.9,79288.66868641545,41805.85490376237,122947.80118973287,-6176.318720664349,60.4,-6115.918720664349,MISMATCHED
4.199999999999999,10.8,79288.66868641545,42856.759958381655,121523.72300659535,-5803.145592146102,60.4,-5742.745592146102,MISMATCHED
4.299999999999999,10.700000000000001,79288.66868641545,43910.00553553719,120110.3207643006,-5442.988927006896,60.4,-5382.5889270068965,MISMATCHED
4.399999999999999,10.600000000000001,79288.66868641545,44965.65746852694,118707.34115125092,-5095.661246946969,60.4,-5035.26124694697,MISMATCHED
4.499999999999998,10.500000000000002,79288.66868641545,46023.78237415759,117314.53865900257,-4760.983660329279,60.4,-4700.583660329279,MISMATCHED
4.599999999999998,10.400000000000002,79288.66868641545,47084.44767981889,115931.67523741041,-4438.785544398415,60.4,-4378.385544398416,MISMATCHED
4.6999999999999975,10.300000000000002,79288.66868641545,48147.72165129077,114558.51996886918,-4128.904247329061,60.4,-4068.504247329061,MISMATCHED
4.799999999999997,10.200000000000003,79288.66868641545,49213.67342131607,113194.84876036429,-3831.184808849459,60.4,-3770.784808849459,MISMATCHED
4.899999999999997,10.100000000000003,79288.66868641545,50282.37301897286,111840.44405214593,-3545.479698287905,60.4,-3485.079698287905,MISMATCHED
4.9999999999999964,10.000000000000004,79288.66868641545,51353.89139988195,110495.09454193333,-3271.648568984383,60.4,-3211.248568984383,MISMATCHED
5.099999999999996,9.900000000000004,79288.66868641545,52428.30047728701,109158.59492363984,-3009.558028095955,60.4,-2949.1580280959547,MISMATCHED
5.199999999999996,9.800000000000004,79288.66868641545,53505.67315404596,107830.74563968633,-2759.0814209013915,60.4,-2698.6814209013914,MISMATCHED
5.299999999999995,9.700000000000005,79288.66868641545,54586.08335557474,106511.35264604016,-2520.098628784006,60.4,-2459.698628784006,MISMATCHED
5.399999999999995,9.600000000000005,79288.66868641545,55669.606063785955,105200.22718918182,-2292.495880136892,60.4,-2232.095880136892,MISMATCHED
5.499999999999995,9.500000000000005,79288.66868641545,56756.3173520671,103897.18559425892,-2076.16557349512,60.4,-2015.76557349512,MISMATCHED
5.599999999999994,9.400000000000006,79288.66868641545,57846.29442134546,102602.04906374165,-1871.0061122562183,60.4,-1810.6061122562182,MISMATCHED
5.699999999999994,9.300000000000006,79288.66868641545,58939.61563728853,101314.64348594291,-1676.92175040055,60.4,-1616.52175040055,MISMATCHED
5.799999999999994,9.200000000000006,79288.66868641545,60036.36056869193,100034.79925281092,-1493.8224486719555,60.4,-1433.4224486719554,MISMATCHED
5.899999999999993,9.100000000000007,79288.66868641545,61136.61002710864,98762.35108644444,-1321.623740722178,60.4,-1261.2237407221778,MISMATCHED
5.999999999999993,9.000000000000007,79288.66868641545,62240.44610777645,97497.13787381862,-1160.2466087641806,60.4,-1099.8466087641805,MISMATCHED
6.0999999999999925,8.900000000000007,79288.66868641545,63347.95223190377,96239.00250924421,-1009.6173683170782,60.4,-949.2173683170782,MISMATCHED
6.199999999999992,8.800000000000008,79288.66868641545,64459.21319037605,94987.79174411579,-869.6675616609573,60.4,-809.2675616609573,MISMATCHED
6.299999999999992,8.700000000000008,79288.66868641545,65574.31518894917,93743.35604353421,-740.3338596524845,60.4,-679.9338596524846,MISMATCHED
6.3999999999999915,8.600000000000009,79288.66868641545,66693.34589499969,92505.54944941623,-621.5579715850181,60.4,-561.1579715850181,MISMATCHED
6.499999999999991,8.500000000000009,79288.66868641545,67816.39448590414,91274.22944972955,-513.2865628027939,60.4,-452.88656280279395,MISMATCHED
6.599999999999991,8.40000000000001,79288.66868641545,68943.55169912576,90049.25685351512,-415.4711798099888,60.4,-355.07117980998885,MISMATCHED
6.69999999999999,8.30000000000001,79288.66868641545,70074.90988408898,88830.49567138022,-328.0681826383079,60.4,-267.66818263830794,MISMATCHED
6.79999999999999,8.20000000000001,79288.66868641545,71210.56305592759,87617.81300116635,-251.0386842630396,60.4,-190.6386842630396,MISMATCHED
6.89999999999999,8.10000000000001,79288.66868641545,72350.60695119733,86411.07891851406,-184.34849688049871,60.4,-123.94849688049871,PHASE_MATCHED
6.999999999999989,8.00000000000001,79288.66868641545,73495.13908564782,85210.16637206482,-127.96808488175157,60.4,-67.56808488175156,PHASE_MATCHED
7.099999999999989,7.900000000000011,79288.66868641545,74644.25881415488,84014.9510830557,-81.87252437967982,60.4,-21.472524379679818,PHASE_MATCHED
7.199999999999989,7.800000000000011,79288.66868641545,75798.06739291971,82825.31144907752,-46.04146916633181,60.4,14.35853083366819,PHASE_MATCHED
7.299999999999988,7.700000000000012,79288.66868641545,76956.66804404726,81641.1284517816,-20.459122997956,60.4,39.940877002044,PHASE_MATCHED
7.399999999999988,7.600000000000012,79288.66868641545,78120.16602262325,80462.28556833237,-5.114218124726904,60.4,55.285781875273095,PHASE_MATCHED
7.499999999999988,7.500000000000012,79288.66868641545,79288.66868641533,79288.66868641562,-5.820766091346741e-11,60.4,60.39999999994179,PHASE_MATCHED
