f_s_GHz,f_i_GHz,k_p,k_s,k_i,dk_lin,dk_nl,dk_total,regime
7.599999999999987,7.400000000000013,79288.66868641545,80462.28556833208,78120.16602262354,-5.114218124726904,60.4,55.285781875273095,PHASE_MATCHED
7.699999999999987,7.300000000000013,79288.66868641545,81641.12845178132,76956.66804404756,-20.459122997985105,60.4,39.94087700201489,PHASE_MATCHED
7.7999999999999865,7.2000000000000135,79288.66868641545,82825.31144907721,75798.06739292,-46.041469166317256,60.4,14.358530833682742,PHASE_MATCHED
7.899999999999986,7.100000000000014,79288.66868641545,84014.95108305539,74644.25881415517,-81.87252437966526,60.4,-21.472524379665266,PHASE_MATCHED
7.999999999999986,7.000000000000014,79288.66868641545,85210.16637206452,73495.13908564812,-127.96808488173701,60.4,-67.56808488173701,PHASE_MATCHED
8.099999999999985,6.900000000000015,79288.66868641545,86411.07891851375,72350.60695119762,-184.34849688048416,60.4,-123.94849688048416,PHASE_MATCHED
8.199999999999985,6.800000000000015,79288.66868641545,87617.81300116604,71210.56305592787,-251.0386842630105,60.4,-190.6386842630105,MISMATCHED
8.299999999999985,6.700000000000015,79288.66868641545,88830.49567137995,70074.90988408925,-328.0681826383079,60.4,-267.66818263830794,MISMATCHED
8.399999999999984,6.600000000000016,79288.66868641545,90049.25685351482,68943.55169912605,-415.4711798099743,60.4,-355.0711798099743,MISMATCHED
8.499999999999984,6.500000000000016,79288.66868641545,91274.22944972925,67816.39448590441,-513.2865628027648,60.4,-452.88656280276484,MISMATCHED
8.599999999999984,6.400000000000016,79288.66868641545,92505.54944941592,66693.34589499996,-621.557971584989,60.4,-561.157971584989,MISMATCHED
8.699999999999983,6.300000000000017,79288.66868641545,93743.3560435339,65574.31518894946,-740.33385965247,60.4,-679.93385965247,MISMATCHED
8.799999999999983,6.200000000000017,79288.66868641545,94987.79174411547,64459.213190376315,-869.6675616608918,60.4,-809.2675616608918,MISMATCHED
8.899999999999983,6.100000000000017,79288.66868641545,96239.0025092439,63347.952231904055,-1009.6173683170637,60.4,-949.2173683170637,MISMATCHED
8.999999999999982,6.000000000000018,79288.66868641545,97497.1378738183,62240.44610777672,-1160.2466087641224,60.4,-1099.8466087641223,MISMATCHED
9.099999999999982,5.900000000000018,79288.66868641545,98762.35108644412,61136.610027108894,-1321.6237407221197,60.4,-1261.2237407221196,MISMATCHED
9.199999999999982,5.8000000000000185,79288.66868641545,100034.79925281057,60036.36056869222,-1493.82244867189,60.4,-1433.42244867189,MISMATCHED
9.299999999999981,5.700000000000019,79288.66868641545,101314.64348594262,58939.615637288785,-1676.9217504005137,60.4,-1616.5217504005136,MISMATCHED
9.39999999999998,5.600000000000019,79288.66868641545,102602.04906374135,57846.29442134573,-1871.006112256182,60.4,-1810.6061122561819,MISMATCHED
9.49999999999998,5.5000000000000195,79288.66868641545,103897.18559425858,56756.31735206737,-2076.165573495062,60.4,-2015.7655734950617,MISMATCHED
9.59999999999998,5.40000000000002,79288.66868641545,105200.22718918147,55669.60606378621,-2292.49588013679,60.4,-2232.09588013679,MISMATCHED
9.69999999999998,5.30000000000002,79288.66868641545,106511.35264603984,54586.08335557501,-2520.098628783955,60.4,-2459.698628783955,MISMATCHED
9.79999999999998,5.200000000000021,79288.66868641545,107830.745639686,53505.67315404622,-2759.0814209013333,60.4,-2698.6814209013332,MISMATCHED
9.899999999999979,5.100000000000021,79288.66868641545,109158.59492363952,52428.300477287274,-3009.558028095904,60.4,-2949.158028095904,MISMATCHED
9.999999999999979,5.000000000000021,79288.66868641545,110495.09454193301,51353.89139988222,-3271.648568984332,60.4,-3211.248568984332,MISMATCHED
10.099999999999978,4.900000000000022,79288.66868641545,111840.4440521456,50282.37301897313,-3545.4796982878324,60.4,-3485.0796982878323,MISMATCHED
10.199999999999978,4.800000000000022,79288.66868641545,113194.84876036394,49213.67342131633,-3831.1848088493716,60.4,-3770.7848088493715,MISMATCHED
10.299999999999978,4.700000000000022,79288.66868641545,114558.51996886882,48147.72165129103,-4128.904247328952,60.4,-4068.504247328952,MISMATCHED
10.399999999999977,4.600000000000023,79288.66868641545,115931.67523741005,47084.44767981916,-4438.7855443983135,60.4,-4378.385544398314,MISMATCHED
10.499999999999977,4.500000000000023,79288.66868641545,117314.53865900222,46023.782374157854,-4760.983660329184,60.4,-4700.583660329185,MISMATCHED
10.599999999999977,4.4000000000000234,79288.66868641545,118707.34115125057,44965.657468527206,-5095.661246946882,60.4,-5035.261246946882,MISMATCHED
10.699999999999976,4.300000000000024,79288.66868641545,120110.32076430027,43910.00553553744,-5442.988927006816,60.4,-5382.588927006816,MISMATCHED
10.799999999999976,4.200000000000024,79288.66868641545,121523.72300659504,42856.75995838192,-5803.145592146066,60.4,-5742.745592146066,MISMATCHED
10.899999999999975,4.1000000000000245,79288.66868641545,122947.80118973252,41805.85490376262,-6176.318720664247,60.4,-6115.918720664247,MISMATCHED
10.999999999999975,4.000000000000025,79288.66868641545,124382.81679381542,40757.225295517674,-6562.704716502201,60.4,-6502.304716502202,MISMATCHED
