f_s_GHz,gain_dB,photon_flux_rel_err,status,dk_lin_rad_per_m,dk_nl_rad_per_m,dk_total_rad_per_m
9.5,1.033212887777474,2.2280752189280942e-10,CONSERVATIVE,-2076.1655734951055,591.34,-1484.8255734951053
9.600000000000001,1.0840088555236287,5.835082872160578e-11,CONSERVATIVE,-2292.4958801368703,591.34,-1701.15588013687
9.7,2.0402802933679225,2.580879658834621e-11,CONSERVATIVE,-2520.0986287839987,591.34,-1928.7586287839986
9.8,0.7826657540178305,1.1524599408401203e-11,CONSERVATIVE,-2759.0814209013915,591.34,-2167.7414209013914
9.9,0.026408277724932278,6.615882930068233e-12,CONSERVATIVE,-3009.558028095991,591.34,-2418.218028095991
10.0,0.7192543756201719,4.2442351682305996e-12,CONSERVATIVE,-3271.6485689843757,591.34,-2680.3085689843756
10.100000000000001,0.6576897132793289,3.383878798504555e-12,CONSERVATIVE,-3545.479698287876,591.34,-2954.139698287876
10.2,0.03766613122945422,2.5759296071303733e-12,CONSERVATIVE,-3831.184808849488,591.34,-3239.844808849488
10.3,0.23520416793037788,2.0162308463545656e-12,CONSERVATIVE,-4128.904247329054,591.34,-3537.5642473290536
10.4,0.42182241711093105,1.6789019838894265e-12,CONSERVATIVE,-4438.785544398372,591.34,-3847.4455443983716
10.5,0.05495327978603766,1.6008270038218481e-12,CONSERVATIVE,-4760.983660329264,591.34,-4169.643660329264
10.600000000000001,0.12173615449963794,1.3652999423699578e-12,CONSERVATIVE,-5095.661246946955,591.34,-4504.3212469469545
10.7,0.2569580371276196,1.2637138483568312e-12,CONSERVATIVE,-5442.988927006889,591.34,-4851.648927006889
10.8,0.014652033971280353,1.1865000258754241e-12,CONSERVATIVE,-5803.145592146109,591.34,-5211.805592146109
10.9,0.12583184067255185,1.069167780531698e-12,CONSERVATIVE,-6176.3187206643415,591.34,-5584.978720664341
11.0,0.12802605633522074,1.0521303630566171e-12,CONSERVATIVE,-6562.704716502289,591.34,-5971.3647165022885
