ratio,flux_over_flux0,equilibrium_flux_rad,g1_over_Ic,g2_over_Ic,g3_over_Ic,g3_over_g1,status
0.0,0.2,1.2566370614359172,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.21000000000000002,1.3194689145077128,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.22,1.3823007675795083,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.23,1.4451326206513047,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.24000000000000002,1.507964473723101,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.25,1.5707963267948966,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.26,1.633628179866692,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.27,1.6964600329384885,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.28,1.7592918860102849,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.29000000000000004,1.8221237390820804,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.30000000000000004,1.8849555921538759,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.31,1.9477874452256714,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.32,2.0106192982974678,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.33,2.073451151369264,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.34,2.1362830044410597,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.35,2.199114857512855,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.36,2.2619467105846507,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.37,2.324778563656447,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.38,2.3876104167282426,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.39,2.450442269800039,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.4,2.5132741228718345,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.41000000000000003,2.57610597594363,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.42000000000000004,2.6389378290154264,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.43000000000000005,2.701769682087223,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.44,2.7646015351590183,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.45,2.827433388230814,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.46,2.8902652413026093,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.47000000000000003,2.9530970943744057,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.48000000000000004,3.015928947446202,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.49,3.0787608005179976,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.0,0.5,3.141592653589793,0.3333333333333333,,-0.006172839506172839,-0.018518518518518517,STABLE
0.005,0.2,1.2424384108217799,0.3349420455318254,,-0.006441511295915851,-0.019231718984960323,STABLE
0.005,0.21000000000000002,1.304995621173547,0.3346428638470925,,-0.006391669285389608,-0.01909997186824858,STABLE
0.005,0.22,1.36760928235415,0.33433829547053096,,-0.006340925347439026,-0.018965596921869585,STABLE
0.005,0.23,1.4302804019205326,0.3340295182368504,,-0.0062894755029885814,-0.0188291009015823,STABLE
0.005,0.24000000000000002,1.4930097695237494,0.3337177324841707,,-0.006237519591571879,-0.01869100435610728,STABLE
0.005,0.25,1.555797951418133,0.3334041566431923,,-0.006185260540107884,-0.018551839912203986,STABLE
0.005,0.26,1.6186452857259337,0.33309002266077686,,-0.006132903602997011,-0.018412150427101922,STABLE
0.005,0.27,1.6815518785134689,0.33277657127089205,,-0.00608065557563149,-0.018272487009554583,STABLE
0.005,0.28,1.7445176007339336,0.33246504712792496,,-0.006028723983774212,-0.018133406912560334,STABLE
0.005,0.29000000000000004,1.80754208609031,0.3321566938194866,,-0.005977316251630123,-0.017995471302705544,STABLE
