conversion_manley_rowe_rel_err_at_p1db,gate_ok,max_conversion_manley_rowe_rel_err,max_power_balance_rel_err,number_of_crossings,p1db_input_dbm,p1db_sample_signal_current_a,power_balance_rel_err_at_p1db,q,returncode,signal_ghz,small_signal_gain_db,status
0.0038979984808112803,True,0.08498960277784388,3.541759436556361e-08,1,-89.64559991327963,1.584893192461114e-07,5.362939185947684e-11,1,,5.8,4.467883133293019,VALID_SOLVED
0.0010097158091027785,True,0.020426054249630194,1.3371241230489304e-07,1,-90.64559991327963,1.584893192461114e-07,1.6920674648515063e-10,1,,6.03,7.303655948183838,VALID_SOLVED
0.0039140790552024485,True,0.061929939979464915,3.157503931382442e-07,1,-90.72893324661295,1.584893192461114e-07,1.170756034506531e-10,1,,6.257,8.788233915751558,VALID_SOLVED
0.0035537604929179816,True,0.19406192339525855,6.295823217933384e-08,1,-92.89559991327963,1.584893192461114e-07,1.219931726662733e-10,1,,6.49,12.869660230822157,VALID_SOLVED
0.0028064176847778194,True,0.01511665098409135,4.868163861466134e-07,1,-93.47893324661297,1.584893192461114e-07,6.336173611404471e-10,1,,6.71,13.609190634932698,VALID_SOLVED
0.003124582000715926,True,0.0033424653587622957,2.392476034573682e-07,1,-92.56226657994628,1.584893192461114e-07,2.2946504550939336e-09,1,,6.943,13.636479953032588,VALID_SOLVED
0.003829837016265293,True,0.008764029228893593,3.124909193235156e-07,1,-93.64559991327963,1.584893192461114e-07,1.3744197092915122e-09,1,,7.29,15.51952823465637,VALID_SOLVED
0.0030947715459562607,True,0.03480141111783467,1.6876495055816546e-07,1,-94.14559991327963,1.584893192461114e-07,8.788953607318279e-09,1,,7.629,16.23655164403793,VALID_SOLVED
nan,False,0.31147898850903033,2.625955588520751e-10,0,-83.39559991327963,5.411695265464637e-07,nan,2,,5.8,4.4678833333192305,CHECK
,False,,,,,,,2,1,6.03,,SUBPROCESS_FAILED
0.007463022237042185,False,0.98556921179783,3.207093870685082e-08,1,-86.72893324661295,2.928644564625237e-07,5.0525951193507157e-11,2,,6.257,8.786978220754984,CHECK
0.028980624943055224,True,0.07612391602622735,1.5177068701030378e-07,1,-89.14559991327963,2.928644564625237e-07,2.058793637108381e-10,2,,6.49,12.869660563026757,VALID_SOLVED
0.015398032659815236,True,0.2725772207987012,3.034120743457314e-07,1,-89.64559991327963,1.584893192461114e-07,5.210340348616605e-12,2,,6.71,13.609191035433225,VALID_SOLVED
0.0777318107614757,True,0.5533115845598063,1.505792942216585e-07,1,-88.81226657994628,2.928644564625237e-07,5.871081358798794e-09,2,,6.943,13.636480312790063,VALID_SOLVED
0.030904200983388468,True,0.7798726809224569,1.1771387196431065e-07,1,-90.81226657994628,1.584893192461114e-07,2.329388082536722e-11,2,,7.29,15.519528605163995,VALID_SOLVED
0.02475528143881213,True,0.5576573488857214,4.7645332889197457e-07,1,-92.22893324661297,1.584893192461114e-07,8.060730411712154e-11,2,,7.629,16.236552000839303,VALID_SOLVED
0.07100749181979403,True,0.6411087368244661,9.38125090872041e-08,1,-88.31226657994628,2.928644564625237e-07,7.93371628597958e-11,3,,6.943,13.636480312773362,VALID_SOLVED
0.02499535085731241,True,0.5761534912375408,2.2079496019637413e-07,1,-92.31226657994628,1.584893192461114e-07,9.65361901132178e-13,3,,7.629,16.23655200083644,VALID_SOLVED
