Frequency_GHz,Insertion_Loss_dB
5.780000,-58.7429
5.800000,-58.7595
5.820000,-58.7759
5.840000,-58.7924
5.860000,-58.8089
5.880000,-58.8253
5.900000,-58.8417
5.920000,-58.8580
5.940000,-58.8744
5.960000,-58.8907
5.980000,-58.9070
6.000000,-58.9233
6.020000,-58.9396
6.040000,-58.9558
6.060000,-58.9720
6.080000,-58.9882
6.100000,-59.0044
6.120000,-59.0205
6.140000,-59.0367
6.160000,-59.0528
6.180000,-59.0689
6.200000,-59.0849
6.220000,-59.1010
6.240000,-59.1170
6.260000,-59.1330
6.280000,-59.1490
6.300000,-59.1649
6.320000,-59.1809
6.340000,-59.1968
6.360000,-59.2127
6.380000,-59.2286
6.400000,-59.2444
6.420000,-59.2602
6.440000,-59.2761
6.460000,-59.2919
6.480000,-59.3076
6.500000,-59.3234
6.520000,-59.3391
6.540000,-59.3548
6.560000,-59.3705
6.580000,-59.3862
6.600000,-59.4019
6.620000,-59.4175
6.640000,-59.4331
6.660000,-59.4487
6.680000,-59.4643
6.700000,-59.4798
6.720000,-59.4954
6.740000,-59.5109
6.760000,-59.5264
6.780000,-59.5419
6.800000,-59.5573
6.820000,-59.5728
6.840000,-59.5882
6.860000,-59.6036
6.880000,-59.6190
6.900000,-59.6344
6.920000,-59.6497
6.940000,-59.6651
6.960000,-59.6804
6.980000,-59.6957
7.000000,-59.7110
7.020000,-59.7262
7.040000,-59.7415
7.060000,-59.7567
7.080000,-59.7719
7.100000,-59.7871
7.120000,-59.8023
7.140000,-59.8175
7.160000,-59.8326
7.180000,-59.8477
7.200000,-59.8628
7.220000,-59.8779
7.240000,-59.8930
7.260000,-59.9080
7.280000,-59.9231
7.300000,-59.9381
7.320000,-59.9531
7.340000,-59.9681
7.360000,-59.9831
7.380000,-59.9980
7.400000,-60.0130
7.420000,-60.0279
7.440000,-60.0428
7.460000,-60.0577
7.480000,-60.0726
7.500000,-60.0874
7.520000,-60.1023
7.540000,-60.1171
7.560000,-60.1319
7.580000,-60.1467
7.600000,-60.1615
7.620000,-60.1762
7.640000,-60.1910
7.660000,-60.2057
7.680000,-60.2204
7.700000,-60.2351
7.720000,-60.2498
7.740000,-60.2645
7.760000,-60.2791
7.780000,-60.2938
7.800000,-60.3084
7.820000,-60.3230
7.840000,-60.3376
7.860000,-60.3522
7.880000,-60.3667
7.900000,-60.3813
7.920000,-60.3958
7.940000,-60.4103
7.960000,-60.4248
7.980000,-60.4393
8.000000,-60.4538
8.020000,-60.4683
8.040000,-60.4827
8.060000,-60.4971
8.080000,-60.5116
8.100000,-60.5260
8.120000,-60.5404
8.140000,-60.5547
8.160000,-60.5691
8.180000,-60.5834
8.200000,-60.5978
8.220000,-60.6121
8.240000,-60.6264
8.260000,-60.6407
8.280000,-60.6549
8.300000,-60.6692
8.320000,-60.6835
8.340000,-60.6977
8.360000,-60.7119
8.380000,-60.7261
8.400000,-60.7403
8.420000,-60.7545
8.440000,-60.7687
8.460000,-60.7828
8.480000,-60.7969
8.500000,-60.8111
8.520000,-60.8252
8.540000,-60.8393
8.560000,-60.8534
8.580000,-60.8674
8.600000,-60.8815
8.620000,-60.8955
8.640000,-60.9096
8.660000,-60.9236
8.680000,-60.9376
8.700000,-60.9516
8.720000,-60.9656
8.740000,-60.9796
8.760000,-60.9935
8.780000,-61.0075
8.800000,-61.0214
8.820000,-61.0353
8.840000,-61.0492
8.860000,-61.0631
8.880000,-61.0770
8.900000,-61.0908
8.920000,-61.1047
8.940000,-61.1185
8.960000,-61.1324
8.980000,-61.1462
9.000000,-61.1600
9.020000,-61.1738
9.040000,-61.1876
9.060000,-61.2013
9.080000,-61.2151
9.100000,-61.2288
9.120000,-61.2426
9.140000,-61.2563
9.160000,-61.2700
9.180000,-61.2837
9.200000,-61.2974
9.220000,-61.3111
9.240000,-61.3247
9.260000,-61.3384
9.280000,-61.3520
9.300000,-61.3656
9.320000,-61.3793
9.340000,-61.3929
9.360000,-61.4065
9.380000,-61.4200
9.400000,-61.4336
9.420000,-61.4472
9.440000,-61.4607
9.460000,-61.4742
9.480000,-61.4878
9.500000,-61.5013
9.520000,-61.5148
9.540000,-61.5283
9.560000,-61.5418
9.580000,-61.5552
9.600000,-61.5687
9.620000,-61.5821
9.640000,-61.5956
9.660000,-61.6090
9.680000,-61.6224
9.700000,-61.6358
9.720000,-61.6492
9.740000,-61.6626
9.760000,-61.6759
9.780000,-61.6893
9.800000,-61.7026
9.820000,-61.7160
9.840000,-61.7293
9.860000,-61.7426
9.880000,-61.7559
9.900000,-61.7692
9.920000,-61.7825
9.940000,-61.7958
9.960000,-61.8090
9.980000,-61.8223
10.000000,-61.8355
10.020000,-61.8487
10.040000,-61.8620
10.060000,-61.8752
10.080000,-61.8884
10.100000,-61.9016
10.120000,-61.9147
10.140000,-61.9279
10.160000,-61.9411
10.180000,-61.9542
10.200000,-61.9674
10.220000,-61.9805
10.240000,-61.9936
10.260000,-62.0067
10.280000,-62.0198
10.300000,-62.0329
10.320000,-62.0460
10.340000,-62.0590
10.360000,-62.0721
10.380000,-62.0851
10.400000,-62.0982
10.420000,-62.1112
10.440000,-62.1242
10.460000,-62.1372
10.480000,-62.1502
10.500000,-62.1632
10.520000,-62.1762
10.540000,-62.1892
10.560000,-62.2021
10.580000,-62.2151
10.600000,-62.2280
10.620000,-62.2410
10.640000,-62.2539
10.660000,-62.2668
10.680000,-62.2797
10.700000,-62.2926
10.720000,-62.3055
10.740000,-62.3183
10.760000,-62.3312
10.780000,-62.3441
10.800000,-62.3569
10.820000,-62.3697
10.840000,-62.3826
10.860000,-62.3954
10.880000,-62.4082
10.900000,-62.4210
10.920000,-62.4338
10.940000,-62.4466
10.960000,-62.4593
10.980000,-62.4721
11.000000,-62.4849
11.020000,-62.4976
11.040000,-62.5103
11.060000,-62.5231
11.080000,-62.5358
11.100000,-62.5485
11.120000,-62.5612
11.140000,-62.5739
11.160000,-62.5866
11.180000,-62.5992
11.200000,-62.6119
11.220000,-62.6246
11.240000,-62.6372
11.260000,-62.6499
11.280000,-62.6625
11.300000,-62.6751
11.320000,-62.6877
11.340000,-62.7003
11.360000,-62.7129
11.380000,-62.7255
11.400000,-62.7381
11.420000,-62.7507
11.440000,-62.7632
11.460000,-62.7758
11.480000,-62.7883
11.500000,-62.8008
11.520000,-62.8134
11.540000,-62.8259
11.560000,-62.8384
11.580000,-62.8509
11.600000,-62.8634
11.620000,-62.8759
11.640000,-62.8884
11.660000,-62.9008
11.680000,-62.9133
11.700000,-62.9257
11.720000,-62.9382
11.740000,-62.9506
11.760000,-62.9630
11.780000,-62.9755
11.800000,-62.9879
11.820000,-63.0003
11.840000,-63.0127
11.860000,-63.0251
11.880000,-63.0374
11.900000,-63.0498
11.920000,-63.0622
11.940000,-63.0745
11.960000,-63.0869
11.980000,-63.0992
12.000000,-63.1115
12.020000,-63.1239
12.040000,-63.1362
12.060000,-63.1485
12.080000,-63.1608
12.100000,-63.1731
12.120000,-63.1854
12.140000,-63.1976
12.160000,-63.2099
12.180000,-63.2222
12.200000,-63.2344
12.220000,-63.2466
12.240000,-63.2589
12.260000,-63.2711
12.280000,-63.2833
12.300000,-63.2955
12.320000,-63.3078
12.340000,-63.3200
12.360000,-63.3321
12.380000,-63.3443
12.400000,-63.3565
12.420000,-63.3687
12.440000,-63.3808
12.460000,-63.3930
12.480000,-63.4051
12.500000,-63.4173
12.520000,-63.4294
12.540000,-63.4415
12.560000,-63.4536
12.580000,-63.4657
12.600000,-63.4778
12.620000,-63.4899
12.640000,-63.5020
12.660000,-63.5141
12.680000,-63.5262
12.700000,-63.5382
12.720000,-63.5503
12.740000,-63.5623
12.760000,-63.5744
12.780000,-63.5864
12.800000,-63.5984
12.820000,-63.6105
12.840000,-63.6225
12.860000,-63.6345
12.880000,-63.6465
12.900000,-63.6585
12.920000,-63.6705
12.940000,-63.6824
12.960000,-63.6944
12.980000,-63.7064
13.000000,-63.7183
13.020000,-63.7303
13.040000,-63.7422
13.060000,-63.7541
13.080000,-63.7661
13.100000,-63.7780
13.120000,-63.7899
13.140000,-63.8018
13.160000,-63.8137
13.180000,-63.8256
13.200000,-63.8375
13.220000,-63.8494
13.240000,-63.8612
13.260000,-63.8731
13.280000,-63.8850
13.300000,-63.8968
13.320000,-63.9087
13.340000,-63.9205
13.360000,-63.9323
13.380000,-63.9442
13.400000,-63.9560
13.420000,-63.9678
13.440000,-63.9796
13.460000,-63.9914
13.480000,-64.0032
13.500000,-64.0150
13.520000,-64.0268
13.540000,-64.0385
13.560000,-64.0503
13.580000,-64.0620
13.600000,-64.0738
13.620000,-64.0855
13.640000,-64.0973
13.660000,-64.1090
13.680000,-64.1207
13.700000,-64.1325
13.720000,-64.1442
13.740000,-64.1559
13.760000,-64.1676
13.780000,-64.1793
13.800000,-64.1910
13.820000,-64.2026
13.840000,-64.2143
13.860000,-64.2260
13.880000,-64.2376
13.900000,-64.2493
13.920000,-64.2609
13.940000,-64.2726
13.960000,-64.2842
13.980000,-64.2958
14.000000,-64.3075
14.020000,-64.3191
14.040000,-64.3307
14.060000,-64.3423
14.080000,-64.3539
14.100000,-64.3655
14.120000,-64.3771
14.140000,-64.3887
14.160000,-64.4002
14.180000,-64.4118
14.200000,-64.4234
14.220000,-64.4349
14.240000,-64.4465
14.260000,-64.4580
14.280000,-64.4695
14.300000,-64.4811
14.320000,-64.4926
14.340000,-64.5041
14.360000,-64.5156
14.380000,-64.5271
14.400000,-64.5386
14.420000,-64.5501
14.440000,-64.5616
14.460000,-64.5731
14.480000,-64.5846
14.500000,-64.5960
14.520000,-64.6075
14.540000,-64.6189
14.560000,-64.6304
14.580000,-64.6418
14.600000,-64.6533
14.620000,-64.6647
14.640000,-64.6761
14.660000,-64.6876
14.680000,-64.6990
14.700000,-64.7104
14.720000,-64.7218
14.740000,-64.7332
14.760000,-64.7446
14.780000,-64.7560
14.800000,-64.7674
14.820000,-64.7787
14.840000,-64.7901
14.860000,-64.8015
14.880000,-64.8128
14.900000,-64.8242
14.920000,-64.8355
14.940000,-64.8469
14.960000,-64.8582
14.980000,-64.8695
15.000000,-64.8808
15.020000,-64.8922
15.040000,-64.9035
15.060000,-64.9148
15.080000,-64.9261
15.100000,-64.9374
15.120000,-64.9487
15.140000,-64.9600
15.160000,-64.9712
15.180000,-64.9825
15.200000,-64.9938
15.220000,-65.0050
15.240000,-65.0163
15.260000,-65.0275
15.280000,-65.0388
15.300000,-65.0500
15.320000,-65.0613
15.340000,-65.0725
15.360000,-65.0837
15.380000,-65.0949
15.400000,-65.1061
15.420000,-65.1173
15.440000,-65.1285
15.460000,-65.1397
15.480000,-65.1509
15.500000,-65.1621
15.520000,-65.1733
15.540000,-65.1845
15.560000,-65.1956
15.580000,-65.2068
15.600000,-65.2180
15.620000,-65.2291
15.640000,-65.2403
15.660000,-65.2514
15.680000,-65.2625
15.700000,-65.2737
15.720000,-65.2848
15.740000,-65.2959
15.760000,-65.3070
15.780000,-65.3181
15.800000,-65.3292
15.820000,-65.3403
15.840000,-65.3514
15.860000,-65.3625
15.880000,-65.3736
15.900000,-65.3847
15.920000,-65.3958
15.940000,-65.4068
15.960000,-65.4179
15.980000,-65.4289
16.000000,-65.4400
16.020000,-65.4510
16.040000,-65.4621
