compression_db,compression_model_depletion_only,external_manley_rowe_evaluable,external_manley_rowe_photon_flux,external_manley_rowe_photon_scale,external_manley_rowe_rel_err,external_supplied_power,gain_db,gain_vs_off_db,hb_residual_rel,idler_s21_imag,idler_s21_real,last_converged_signal_current_a,manley_rowe_evaluable,manley_rowe_photon_flux,manley_rowe_photon_scale,manley_rowe_rel_err,power_balance_rel_err,pump_depletion_db,pump_s21_imag,pump_s21_real,recovery_rung,signal_current_a,signal_power_dbm,signal_s21_imag,signal_s21_real,status
0.0,15.519528545958574,1.0,-1.1162366930204724e-32,3.5072957546167116e-28,3.1826135322381965e-05,-9.111576830422219e-22,15.200998984212175,15.519528605163995,1.225091611301059e-12,5.61102738163867,-1.434021144345891,1e-10,1.0,1.2676863686909122e-24,2.534846210982884e-24,0.5001038576613955,1.0905619856631836e-14,-5.517045273961685e-07,0.05004223660209429,-0.29687018831414674,adaptive_first_point,1e-10,-156.02059991327963,5.581125117748971,1.4041980897570434,VALID_SOLVED
5.479846478806394e-07,15.519527855019575,1.0,9.400398753303218e-33,1.1976306178754973e-27,7.849163684524689e-06,-8.824265105577997e-22,15.200998436227525,15.519528057179347,1.1631755935993503e-12,5.611027188184498,-1.4340200040046964,1.8478497974222944e-10,1.0,1.2676863754564213e-24,2.5352696644127605e-24,0.500020330480329,1.0589514901189263e-14,-1.8838581326008352e-06,0.050042281374347033,-0.2968701339423873,previous,1.8478497974222944e-10,-150.68726657994628,5.58112455282361,1.4041988470312217,VALID_SOLVED
2.4191246534854827e-06,15.519525495755255,1.0,7.676728706468518e-32,4.089410919349409e-27,1.877221159200558e-05,-9.34122069030576e-22,15.200996565087518,15.519526186039341,1.315087865524006e-12,5.611026527608304,-1.4340161102579774,3.414548873833601e-10,1.0,1.267686398552849e-24,2.536715566244505e-24,0.49973533312984025,9.483147574668224e-16,-6.432563219860299e-06,0.05004243425116286,-0.29686994828732577,previous,3.414548873833601e-10,-145.35393324661297,5.581122623843777,1.4042014327821437,VALID_SOLVED
8.808290385076134e-06,15.519517439868782,1.0,3.1523497455570225e-31,1.396352292125879e-26,2.2575604762016913e-05,-8.84389578257754e-22,15.200990175921786,15.51951979687361,1.2253506822485968e-12,5.611024271976215,-1.43400281489773,6.309573444801942e-10,1.0,1.2676864773228776e-24,2.541652661674921e-24,0.4987646409905145,4.899626073954602e-15,-2.1964357534542955e-05,0.050042956253669724,-0.2968693143586695,previous,6.309573444801942e-10,-140.02059991327963,5.58111603720891,1.4042102618893002,VALID_SOLVED
3.062498860728624e-05,15.519489932112913,1.0,1.194268501796022e-30,4.7678973752220386e-26,2.504811676531535e-05,3.2939373810841147e-22,15.200968359223568,15.519497980175387,1.4606347726700925e-12,5.6110165693369485,-1.43395741781401,1.1659144011798312e-09,1.0,1.2676867452016933e-24,2.558510533234534e-24,0.49547841556042044,1.232808992595848e-14,-7.499864320337224e-05,0.05004473862362221,-0.2968671497739151,previous,1.1659144011798312e-09,-134.6872665799463,5.581093546443338,1.404240408780492,VALID_SOLVED
0.00010512587411959373,15.519395999320107,1.0,4.826837233778737e-30,1.6279972165904884e-25,2.9648928048461736e-05,1.076261583339056e-20,15.200893858338054,15.519423479289875,9.193349015097268e-12,5.61099026050369,-1.4338024138213032,2.1544346900318866e-09,1.0,1.2676876473864526e-24,2.616071602669849e-24,0.48457681589934526,6.954304275765556e-15,-0.00025608930952181197,0.05005082422668675,-0.2968597586424807,previous,2.1544346900318866e-09,-129.35393324661294,5.581016746275914,1.404343340548002,VALID_SOLVED
0.0003595203990833795,15.519075259277928,1.0,2.2327716113197142e-29,5.558559873200971e-25,4.016816697584554e-05,-8.00672214925221e-22,15.20063946381309,15.519169084764911,1.2816631174472796e-12,5.610900391075001,-1.433273175653531,3.981071705534969e-09,1.0,1.267690670757599e-24,2.8126057048901837e-24,0.45071752096410367,1.6437423373715054e-14,-0.0008744513328728942,0.05007160091819761,-0.29683452075376027,previous,3.981071705534969e-09,-124.02059991327963,5.580754499702711,1.4046947574526545,VALID_SOLVED
0.0012285639816216332,15.517979741924501,1.0,1.5277582604824978e-28,1.8976370533800447e-24,8.050845433067804e-05,-7.903330617603123e-22,15.199770420230553,15.518300041182373,1.2126404988700417e-12,5.610592860434959,-1.4314666252218802,7.356422544596422e-09,1.0,1.2676999583744509e-24,3.483552174138152e-24,0.36391013970907043,4.583490305739005e-15,-0.0029861460294942077,0.05014250308638225,-0.2967483384447433,previous,7.356422544596422e-09,-118.68726657994628,5.57985875896432,1.4058940131355353,VALID_SOLVED
0.0042004060393967535,15.514235366997681,1.0,1.4158950938980563e-27,6.475370652233362e-24,0.00021865854017325055,-9.764674404774158e-22,15.196798578172777,15.515328199124598,1.1723137702365688e-12,5.609535183853938,-1.4253044212567239,1.3593563908785241e-08,1.0,1.267720689269025e-24,5.773029806193203e-24,0.21959365044487333,8.060489079213095e-15,-0.010199714806898186,0.05038413148643395,-0.2964539918715704,previous,1.3593563908785241e-08,-113.35393324661297,5.576797001630837,1.4099811565795932,VALID_SOLVED
0.01440041686258553,15.501406539969388,1.0,1.5347533776636007e-26,2.2061383023811163e-23,0.0006956741451826115,-4.09523508248067e-21,15.186598567349588,15.50512818830141,9.161520648664865e-12,5.605834903834835,-1.4043369055023514,2.511886431509582e-08,1.0,1.267693038818132e-24,1.3573029521325895e-23,0.09339794309194843,0.0,-0.034866792514108624,0.05120371350647142,-0.29544809617117446,previous,2.511886431509582e-08,-108.02059991327963,5.566304910026006,1.4238465678557268,VALID_SOLVED
0.04986559544543745,15.457071479395175,1.0,1.7775468891991268e-25,7.475335768915463e-23,0.0023778823375274513,-7.59430514599024e-22,15.151133388766736,15.469663009718557,1.2543809228841094e-12,5.592161898143707,-1.3335879026967417,4.641588833612773e-08,1.0,1.2673746134333595e-24,4.000053879289294e-23,0.031683938558811096,4.8983266898678475e-15,-0.11951164459608066,0.05393909455493183,-0.2920043626456016,previous,4.641588833612773e-08,-102.68726657994631,5.530033823548151,1.4701493808560395,VALID_SOLVED
0.17926711047688926,15.298668507047301,1.0,2.1029654889495925e-24,2.4827329291503363e-22,0.00847036531500506,-4.281923753187285e-22,15.021731873735282,15.340261494687105,1.1579938935801557e-11,5.533825482809433,-1.1016021182200784,8.576958985908945e-08,1.0,1.2737251233402789e-24,1.277167613298483e-22,0.009973045903119065,4.0994809334922685e-13,-0.4129857972910109,0.062574157549864,-0.28017642111757296,previous,8.576958985908945e-08,-97.35393324661295,5.400730459679495,1.6166392395091804,VALID_SOLVED
