compression_db,compression_model_depletion_only,external_manley_rowe_evaluable,external_manley_rowe_photon_flux,external_manley_rowe_photon_scale,external_manley_rowe_rel_err,external_supplied_power,gain_db,gain_vs_off_db,hb_residual_rel,idler_s21_imag,idler_s21_real,last_converged_signal_current_a,manley_rowe_evaluable,manley_rowe_photon_flux,manley_rowe_photon_scale,manley_rowe_rel_err,power_balance_rel_err,pump_depletion_db,pump_s21_imag,pump_s21_real,recovery_rung,signal_current_a,signal_power_dbm,signal_s21_imag,signal_s21_real,status
nan,-0.002457130954535274,1.0,3.229211587589519e-30,3.3991229468218e-30,0.9500131763721142,1.167508939912012e-19,-82.36024348230126,-0.002457129294326341,1.3805581888566637e-12,4.102578698735682e-06,1.267149168805105e-06,1e-10,1.0,2.0815639517105444e-26,4.163056193508116e-26,0.5000086126525369,1.4233140690033754e-14,-3.879563337250147e-12,-0.0016248135763395123,1.414949081096608e-05,adaptive_first_point,1e-10,-156.02059991327963,-4.724790769705861e-05,5.9790917400323136e-05,VALID_SOLVED
nan,-0.0024571326200511718,1.0,1.1234956051008228e-29,1.1397816168894776e-29,0.9857112875419941,4.085377956464572e-19,-82.36024347995811,-0.0024571269511848826,7.11703069348031e-12,4.102578727478835e-06,1.267149181732756e-06,1.8478497974222944e-10,1.0,2.081564035604498e-26,4.163057430768103e-26,0.5000084842020639,7.749154371953121e-15,1.3557155398302712e-10,-0.0016248135763658736,1.4149490779490801e-05,previous,1.8478497974222944e-10,-150.68726657994628,-4.724790773873221e-05,5.9790917393593277e-05,VALID_SOLVED
nan,-0.002457145485277923,1.0,3.85768226297305e-29,3.87038842660954e-29,0.9967170830841853,1.4051361171305586e-18,-82.36024347913559,-0.0024571261286557367,2.4206777785488002e-11,4.102578754064317e-06,1.2671491608885434e-06,3.414548873833601e-10,1.0,2.0815643210356793e-26,4.163061653463811e-26,0.5000080455939792,1.5814600733089992e-15,4.1178793708240846e-10,-0.0016248135764173586,1.4149490801164646e-05,previous,3.414548873833601e-10,-145.35393324661297,-4.724790784853216e-05,5.979091731602495e-05,VALID_SOLVED
nan,-0.002457189710590843,1.0,1.3196012140832983e-28,1.3196040484322614e-28,0.9999978521216524,4.8091670769034594e-18,-82.3602434766234,-0.002457123616460359,8.276653003970969e-11,4.102578837795935e-06,1.26714907650032e-06,6.309573444801942e-10,1.0,2.0815652957471665e-26,4.163076072157238e-26,0.5000065479631107,1.5814600644330114e-16,1.354933942820935e-09,-0.0016248135765931546,1.4149490875177694e-05,previous,6.309573444801942e-10,-140.02059991327963,-4.724790821349503e-05,5.979091705571622e-05,VALID_SOLVED
nan,-0.0024573315601743107,1.0,4.509110176390304e-28,4.509119854413012e-28,0.9999978536780967,1.643661662807721e-17,-82.36024345888546,-0.0024571058785383066,9.910924158744833e-13,4.102579501713648e-06,1.2671484318164304e-06,1.1659144011798312e-09,1.0,2.0815685808607198e-26,4.1631252193047653e-26,0.5000014343090882,9.805052211669196e-15,5.78975800635817e-09,-0.0016248135774197812,1.4149491223209247e-05,previous,1.1659144011798312e-09,-134.6872665799463,-4.724791084938545e-05,5.979091517113438e-05,VALID_SOLVED
nan,-0.002457825832537627,1.0,1.5398706658451002e-27,1.539873970452907e-27,0.9999978539751498,5.613372082992363e-17,-82.36024340823853,-0.0024570552316007547,9.728786336368975e-13,4.102581411448591e-06,1.267146566022534e-06,2.1544346900318866e-09,1.0,2.0815798410564262e-26,4.163293120757302e-26,0.4999839743875126,8.698029618784796e-15,1.9718285670933255e-08,-0.0016248135800159805,1.4149492316274117e-05,previous,2.1544346900318866e-09,-129.35393324661294,-4.7247918463578945e-05,5.979090972059683e-05,VALID_SOLVED
nan,-0.0024595133073060534,1.0,5.258179004916024e-27,5.258190288656842e-27,0.9999978540638131,1.916815368362878e-16,-82.36024323506014,-0.002456882053203943,9.207418795570826e-13,4.102587937806758e-06,1.2671401971707292e-06,3.981071705534969e-09,1.0,2.08161828959847e-26,4.1638664285367717e-26,0.49992436724968947,9.330611506931273e-15,6.72779378874111e-08,-0.0016248135888808318,1.4149496048583973e-05,previous,3.981071705534969e-09,-124.02059991327963,-4.7247944461429545e-05,5.9790891113101124e-05,VALID_SOLVED
nan,-0.0024652752463985915,1.0,1.795454113182044e-26,1.795457966065774e-26,0.9999978540941628,6.545169636323504e-16,-82.36024264371295,-0.002456290706015877,9.579915310821364e-13,4.102610222971077e-06,1.2671184518871063e-06,7.356422544596422e-09,1.0,2.0817495741483825e-26,4.1658240162136717e-26,0.4997209594178897,3.953645928214007e-15,2.2967293489273288e-07,-0.0016248136191503448,1.4149508792663404e-05,previous,7.356422544596422e-09,-118.68726657994628,-4.724803323240348e-05,5.979082757697158e-05,VALID_SOLVED
nan,-0.00248494956583832,1.0,6.130689392059784e-26,6.130702547864556e-26,0.9999978541113894,2.2348913163000085e-15,-82.36024062448288,-0.0024542714759483893,1.0552342060619117e-12,4.102686313940338e-06,1.2670442028447222e-06,1.3593563908785241e-08,1.0,2.082197853513738e-26,4.17250829826246e-26,0.4990278519951221,9.488725516837979e-15,7.841815161668819e-07,-0.0016248137225076337,1.4149552307063544e-05,previous,1.3593563908785241e-08,-113.35393324661297,-4.7248336344585706e-05,5.979061062928434e-05,VALID_SOLVED
nan,-0.002552127694678225,1.0,2.0933561762666248e-25,2.093360668316302e-25,0.999997854144417,7.631156466928215e-15,-82.36023372959136,-0.0024473765844097205,9.41976907752875e-13,4.102946137229737e-06,1.2667906819835142e-06,2.511886431509582e-08,1.0,2.0837285472176898e-26,4.1953321442062986e-26,0.4966778494749916,6.483904779926668e-15,2.677611917079048e-06,-0.0016248140754325957,1.4149700878769913e-05,previous,2.511886431509582e-08,-108.02059991327963,-4.72493713305306e-05,5.978986983912109e-05,VALID_SOLVED
nan,-0.0027815013133090398,1.0,7.147871312228118e-25,7.147886649803232e-25,0.9999978542503729,2.6056975478043492e-14,-82.3602101850105,-0.002423832003570878,1.0791905195760819e-12,4.103833378051876e-06,1.2659250950832264e-06,4.641588833612773e-08,1.0,2.088955430638164e-26,4.273265726669291e-26,0.4888428579578077,9.330213831483282e-15,9.143216011864297e-06,-0.0016248152805872671,1.4150208063690514e-05,previous,4.641588833612773e-08,-102.68726657994631,-4.725290527312832e-05,5.9787340243259296e-05,VALID_SOLVED
nan,-0.0035645993591162076,1.0,2.440678197673859e-24,2.4406834338916342e-24,0.9999978546100233,8.897291870363556e-14,-82.36012977182796,-0.0023434188210168408,4.401940118050937e-12,4.1068636269174896e-06,1.2629703501006754e-06,8.576958985908945e-08,1.0,2.1068058527027196e-26,4.5393789416414936e-26,0.4641176424766322,6.641158636799345e-15,3.122492388030196e-05,-0.0016248193965227357,1.415193846700026e-05,previous,8.576958985908945e-08,-97.35393324661295,-4.7264971305141264e-05,5.977870127998368e-05,VALID_SOLVED
nan,-0.0062372516625295886,1.0,8.333842919189083e-24,8.333860788339874e-24,0.999997855837619,3.038034585947452e-13,-82.3598549751493,-0.002068622142363193,5.2288132361718846e-11,4.117218961093658e-06,1.252891079351119e-06,1.584893192461114e-07,1.0,2.1677916653674646e-26,5.44809602013932e-26,0.3978989462289303,2.687136916266366e-15,0.00010667741526049213,-0.0016248334607880733,1.4157830631502043e-05,previous,1.584893192461114e-07,-92.02059991327963,-4.7306162167237135e-05,5.9749185227216466e-05,VALID_SOLVED
nan,-0.015348268147100209,1.0,2.845663682176922e-23,2.8456697718240793e-23,0.9999978600302756,1.0373642138150677e-12,-82.35891402010924,-0.0011276671023108913,1.0343184196114818e-12,4.152674444051317e-06,1.2185879125068802e-06,2.928644564625237e-07,1.0,2.3764346273406235e-26,8.551660180246345e-26,0.27789161136570867,5.999293855759619e-15,0.00036493663107250995,-0.001624881602900826,1.4177758558040471e-05,previous,2.928644564625237e-07,-86.68726657994628,-4.74467075965622e-05,5.96481896788172e-05,VALID_SOLVED
