compression_db,compression_model_depletion_only,external_manley_rowe_evaluable,external_manley_rowe_photon_flux,external_manley_rowe_photon_scale,external_manley_rowe_rel_err,external_supplied_power,gain_db,gain_vs_off_db,hb_residual_rel,idler_s21_imag,idler_s21_real,last_converged_signal_current_a,manley_rowe_evaluable,manley_rowe_photon_flux,manley_rowe_photon_scale,manley_rowe_rel_err,power_balance_rel_err,pump_depletion_db,pump_s21_imag,pump_s21_real,recovery_rung,signal_current_a,signal_power_dbm,signal_s21_imag,signal_s21_real,status
0.0,13.392947995589044,0.0,8.438453246847807e-33,3.1113681300367693e-32,0.0,4.030498665990415e-22,12.913748799202235,13.392947995592673,1.297308538903108e-12,-0.06091960021454674,-4.878911715572131,1e-12,1.0,1.2675630444869275e-24,2.5344206922902177e-24,0.5001391632979053,8.692887854204068e-15,-3.4370728485555446e-11,0.05003986239199321,-0.2968704076270296,adaptive_first_point,1e-12,-196.02059991327963,-0.6235319609921725,4.378524803414746,VALID_SOLVED
-1.689061335241604e-09,13.392947997271357,0.0,-2.754263552335482e-33,6.21059590708852e-32,0.0,-1.2425617988382326e-22,12.913748800891298,13.392947997281734,1.2091401519399103e-12,-0.06091960034730891,-4.878911716212573,1.691271714490637e-12,1.0,1.267563044573026e-24,2.534420713553445e-24,0.5001391591358204,3.319102635240326e-15,-8.190248479422735e-11,0.05003986239407075,-0.29687040762500866,previous,1.691271714490637e-12,-191.45633220101325,-0.6235319610412061,4.37852480427648,VALID_SOLVED
-1.7237713478834849e-09,13.392947997286758,0.0,-1.316427766178772e-32,1.7236190393475972e-31,0.0,-6.062097451705256e-22,12.91374880092601,13.392947997316444,1.2936452572557845e-12,-0.06091960004649458,-4.878911716491041,2.860400012236098e-12,1.0,1.2675630446892701e-24,2.534420774120093e-24,0.5001391472295463,5.531837725395433e-15,-2.3428370354849903e-10,0.05003986240073194,-0.29687040761852973,previous,2.860400012236098e-12,-186.89206448874685,-0.6235319610501745,4.378524804293056,VALID_SOLVED
-1.7196768453686673e-09,13.392947997227436,0.0,-4.3641557294745895e-32,4.870375348161355e-31,0.0,-2.0179869844747593e-21,12.913748800921912,13.39294799731235,1.9658216366596733e-12,-0.06091959976835343,-4.878911716496317,4.8377136328235846e-12,1.0,1.2675630450314054e-24,2.5344209473746298e-24,0.5001391131747296,1.1379780463640537e-14,-6.701714738710507e-10,0.05003986241978286,-0.29687040759999733,previous,4.8377136328235846e-12,-182.32779677648045,-0.6235319615201409,4.378524804224022,VALID_SOLVED
7.178257988016412e-11,13.392947995278,1.0,-1.2673406160823763e-31,1.3912204193044852e-30,0.09109560199784587,-5.862703888910025e-21,12.91374879913045,13.39294799552089,4.6403821764060274e-12,-0.06091959844714699,-4.878911715446152,8.181888230000271e-12,1.0,1.2675630460023472e-24,2.5344214429441142e-24,0.5001390157628562,4.74157519314785e-16,-1.9169466014545833e-09,0.050039862474282985,-0.29687040754698735,previous,8.181888230000271e-12,-177.76352906421408,-0.6235319623850691,4.3785248031794675,VALID_SOLVED
4.982906531836306e-09,13.392947989915003,1.0,-3.6128553202116873e-31,3.980671478680241e-30,0.090759946897439,-1.6711992935285303e-20,12.913748794219329,13.392947990609766,1.2874458967940312e-11,-0.060919594912821465,-4.878911712636261,1.383779613452332e-11,1.0,1.2675630487911141e-24,2.5344228604824265e-24,0.500138737128434,2.0546825836530788e-15,-5.48323875193546e-09,0.05003986263016966,-0.29687040739535786,previous,1.383779613452332e-11,-173.1992613519477,-0.6235319650255539,4.378524800277559,VALID_SOLVED
1.9229416281518752e-08,13.392947974375955,1.0,-1.0584322937903516e-30,1.1361301550671906e-29,0.09316118308009842,-4.8988365481631854e-20,12.91374877997282,13.392947976363256,3.665587710227652e-11,-0.060919584529104606,-4.87891170448966,2.340347319320716e-11,1.0,1.2675630567490795e-24,2.5344269151902464e-24,0.5001379401204513,7.270415295554529e-15,-1.56842610010699e-08,0.050039863076068614,-0.2968704069616368,previous,2.340347319320716e-11,-168.6349936396813,-0.6235319723972177,4.378524791900531,VALID_SOLVED
9.042330795239195e-08,13.392947899484884,1.0,-9.897555407592366e-32,3.542643068510173e-29,0.0027938336479815602,1.0296968451573886e-22,12.913748708778929,13.392947905169365,1.2331858583516441e-12,-0.060919530148351504,-4.878911663815047,3.958163223251114e-11,1.0,1.2675630107936302e-24,2.5344383762703673e-24,0.5001356602952614,2.5288401025646376e-15,-5.3861297644175465e-08,0.05003986474483561,-0.2968704053384476,previous,3.958163223251114e-11,-164.0707259274149,-0.6235320122494448,4.378524749608913,VALID_SOLVED
2.6370408967579806e-07,13.392947715628695,1.0,-2.8854115062974894e-31,1.0132832710314842e-28,0.002847586246401018,3.685394069530085e-23,12.913748535498147,13.392947731888583,1.1941909506023698e-12,-0.06091939936026436,-4.878911564804337,6.694329500821697e-11,1.0,1.2675629480646494e-24,2.534471296551466e-24,0.5001291392762514,6.005995241484021e-15,-1.5406485154301208e-07,0.05003986912485892,-0.29687040107805107,previous,6.694329500821697e-11,-159.50645821514854,-0.6235321075231169,4.37852464691965,VALID_SOLVED
7.59318298904077e-07,13.392947189764595,1.0,-8.164580177332116e-31,2.898483989196856e-28,0.0028168450154504557,5.260538830811391e-22,12.913748039883936,13.392947236274374,1.322691882721362e-12,-0.06091902532973536,-4.878911281606074,1.132193013221996e-10,1.0,1.2675627686525466e-24,2.5345654617270203e-24,0.5001104874951012,3.002997617728563e-15,-4.406870210971192e-07,0.05003988165348452,-0.2968703888916141,previous,1.132193013221996e-10,-154.94219050288217,-0.6235323801030725,4.37852435319847,VALID_SOLVED
