compression_db,compression_model_depletion_only,external_manley_rowe_evaluable,external_manley_rowe_photon_flux,external_manley_rowe_photon_scale,external_manley_rowe_rel_err,external_supplied_power,gain_db,gain_vs_off_db,hb_residual_rel,idler_s21_imag,idler_s21_real,last_converged_signal_current_a,manley_rowe_evaluable,manley_rowe_photon_flux,manley_rowe_photon_scale,manley_rowe_rel_err,power_balance_rel_err,pump_depletion_db,pump_s21_imag,pump_s21_real,recovery_rung,signal_current_a,signal_power_dbm,signal_s21_imag,signal_s21_real,status
0.0,3.757909042095466,1.0,4.23306576092777e-30,5.571790884224245e-30,0.7597316282836655,1.6875463504716894e-19,-4.708305809456461,3.7579090460418514,1.1861287944837016e-12,0.5319549125939008,-0.1567889368651097,1e-10,1.0,8.831996823387907e-26,1.7663408631997262e-25,0.500016560075995,2.3361088260137755e-14,-5.2592064037071395e-09,-0.13156094249448638,-0.022484603740716796,adaptive_first_point,1e-10,-156.02059991327963,-0.504208517888469,-0.28977665903019767,VALID_SOLVED
1.9588832778083543e-09,3.757909030607842,1.0,1.2594133116334222e-29,1.716527547504949e-29,0.7336982814310419,4.881252633679213e-19,-4.708305811415344,3.757909044082968,6.1412877450402e-11,0.5319549143521352,-0.15678893015912682,1.8478497974222944e-10,1.0,8.831999721299573e-26,1.7664118647199247e-25,0.49999662579825005,1.0417782597614955e-14,-1.4196348985251461e-08,-0.1315609420677905,-0.022484605422194933,previous,1.8478497974222944e-10,-150.68726657994628,-0.5042085162032983,-0.28977666169916927,VALID_SOLVED
2.289039580105623e-08,3.7579089771399787,1.0,4.980410901204065e-29,6.541249788152933e-29,0.7613852188039427,1.9888633066901417e-18,-4.708305832346857,3.7579090231514556,1.1008937972369196e-12,0.5319549330131168,-0.15678885898387157,3.414548873833601e-10,1.0,8.832001568947145e-26,1.7666526946054115e-25,0.49992857090226245,4.5775105300171826e-15,-6.143445574480211e-08,-0.131560939812726,-0.02248461430818674,previous,3.414548873833601e-10,-145.35393324661297,-0.5042084983170707,-0.2897766900085273,VALID_SOLVED
8.338159984688787e-08,3.7579088055518177,1.0,1.701852738957748e-28,2.234808793122411e-28,0.7615205131620983,6.797074577607519e-18,-4.70830589283806,3.7579089626602515,1.1558723422234282e-12,0.5319549869376581,-0.15678865329631828,6.309573444801942e-10,1.0,8.832014101440011e-26,1.7674762639389831e-25,0.4996963343517302,2.8412134202245083e-15,-2.097956155466818e-07,-0.13156093273022018,-0.022484642216502065,previous,6.309573444801942e-10,-140.02059991327963,-0.504208446628009,-0.28977677181895006,VALID_SOLVED
2.8993413891953423e-07,3.757908219653336,1.0,5.812041199137306e-28,7.6318455514432485e-28,0.7615512080217869,2.3213595376727202e-17,-4.708306099390599,3.7579087561077125,1.0632114486305624e-12,0.5319551710677659,-0.15678795096781004,1.1659144011798312e-09,1.0,8.832056895026013e-26,1.77028838179614e-25,0.49890497988045207,2.3992468530122257e-14,-7.163820257005682e-07,-0.13156090854661723,-0.022484737510773792,previous,1.1659144011798312e-09,-134.6872665799463,-0.5042082701338093,-0.289777051162984,VALID_SOLVED
9.952318875683375e-07,3.7579062190608497,1.0,1.9846489322845698e-27,2.6060298566119066e-27,0.7615603202891955,7.926864875661433e-17,-4.7083068046883465,3.757908050809964,1.177900625232297e-12,0.5319557997799131,-0.15678555283214676,2.1544346900318866e-09,1.0,8.832203016682947e-26,1.7798904962018713e-25,0.4962217077696682,1.2627614383671802e-15,-2.4461453307367265e-06,-0.1315608259700508,-0.02248506289735424,previous,2.1544346900318866e-09,-129.35393324661294,-0.5042076674833021,-0.2897780049963676,VALID_SOLVED
3.4036409739535145e-06,3.7578993878106566,1.0,6.776834698175502e-27,8.898568299804124e-27,0.7615646101547228,2.706739597756123e-16,-4.708309213097435,3.7579056424008774,1.124973996678104e-12,0.531957946451864,-0.1567773642668181,3.981071705534969e-09,1.0,8.832701964877675e-26,1.8126773913189912e-25,0.4872737977081833,7.1030318766021475e-15,-8.352498394259555e-06,-0.1315605440028207,-0.02248617394141892,previous,3.981071705534969e-09,-124.02059991327963,-0.5042056096831637,-0.28978126189159786,VALID_SOLVED
1.1628856548373534e-05,3.7578760606588855,1.0,2.3139956056010984e-26,3.038469658637611e-26,0.7615661387379619,9.242351823784029e-16,-4.708317438313008,3.757897417185303,1.4093456260076733e-12,0.531965275247799,-0.15674940385407732,7.356422544596422e-09,1.0,8.834405747658624e-26,1.924629919080843e-25,0.45901841492091755,3.472591335010016e-15,-2.851993282604326e-05,-0.13155958114771668,-0.022489967605345686,previous,7.356422544596422e-09,-118.68726657994628,-0.5041985829837771,-0.28979238253990924,VALID_SOLVED
3.973273784207976e-05,3.757796391305593,1.0,7.901245283359829e-26,1.0374971039467297e-25,0.7615679362672725,3.155842295350578e-15,-4.708345542194302,3.7578693133040093,7.390493353745382e-12,0.5319902867151353,-0.15665392983649318,1.3593563908785241e-08,1.0,8.84022455406869e-26,2.306898132805688e-25,0.3832082755781271,1.5784474611949824e-15,-9.738149277183084e-05,-0.1315562926832997,-0.022502920669345547,previous,1.3593563908785241e-08,-113.35393324661297,-0.5041745871740427,-0.28983035244319044,VALID_SOLVED
0.00013591029275739075,3.7575241505826673,1.0,2.697904941702811e-25,3.542539961725047e-25,0.7615736084425314,1.0775698541152367e-14,-4.708441719749218,3.757773135749094,8.537909716108396e-11,0.5320755372636553,-0.15632790795772405,2.511886431509582e-08,1.0,8.860106643127238e-26,3.6121812911483664e-25,0.24528410755127072,5.998059547499097e-15,-0.0003324993912805496,-0.1315450553365583,-0.02254714269429395,previous,2.511886431509582e-08,-108.02059991327963,-0.5040926196558391,-0.2899599781102563,VALID_SOLVED
