compression_db,compression_model_depletion_only,external_manley_rowe_evaluable,external_manley_rowe_photon_flux,external_manley_rowe_photon_scale,external_manley_rowe_rel_err,external_supplied_power,gain_db,gain_vs_off_db,hb_residual_rel,idler_s21_imag,idler_s21_real,last_converged_signal_current_a,manley_rowe_evaluable,manley_rowe_photon_flux,manley_rowe_photon_scale,manley_rowe_rel_err,power_balance_rel_err,pump_depletion_db,pump_s21_imag,pump_s21_real,recovery_rung,signal_current_a,signal_power_dbm,signal_s21_imag,signal_s21_real,status
0.0,14.680226944862941,0.0,-1.7630170116773373e-33,2.5222445991829454e-32,0.0,-5.554257833913668e-23,14.084226093119108,14.680226944867822,1.190949064801369e-12,4.540361711608226,2.3226642697127207,1e-12,1.0,1.2675630443114972e-24,2.5344206940958167e-24,0.5001391628723718,5.531837725402943e-15,-4.214939508528914e-11,0.0500398623915106,-0.29687040762683753,adaptive_first_point,1e-12,-196.02059991327963,4.496877189724707,-2.3213926790899335,VALID_SOLVED
-8.769696080435097e-10,14.680226945730833,0.0,-1.8361959961578705e-33,7.535302272403872e-32,0.0,-3.169372600650568e-23,14.084226093996078,14.680226945744792,1.356549802893209e-12,4.540361712220752,2.322664269559982,1.691271714490637e-12,1.0,1.2675630441646549e-24,2.534420718900335e-24,0.5001391579195424,7.428467802681377e-15,-1.0043166298601136e-10,0.05003986239291953,-0.29687040762455147,previous,1.691271714490637e-12,-191.45633220101325,4.4968771903592355,-2.321392678974653,VALID_SOLVED
-1.217028255950936e-09,14.680226946044924,0.0,-2.2687432418546568e-32,1.981046097673519e-31,0.0,-9.170736779116568e-22,14.084226094336135,14.68022694608485,1.4304870126456436e-12,4.540361712118381,2.322664269999065,2.860400012236098e-12,1.0,1.2675630435222116e-24,2.5344207894152857e-24,0.5001391437507305,4.899627699637261e-15,-2.872972970635601e-10,0.050039862397435,-0.2968704076172221,previous,2.860400012236098e-12,-186.89206448874685,4.496877190423722,-2.3213926792816624,VALID_SOLVED
-4.460432023734029e-11,14.680226944798216,0.0,-5.548432323220177e-32,5.760692367638516e-31,0.0,-2.1776495074414893e-21,14.084226093163712,14.680226944912427,2.3494323571408056e-12,4.540361711391027,2.322664269897697,4.8377136328235846e-12,1.0,1.267563041686341e-24,2.534420991118215e-24,0.5001391032225778,6.638205270461969e-15,-8.217906355412197e-10,0.05003986241035351,-0.2968704075962574,previous,4.8377136328235846e-12,-182.32779677648045,4.49687719001236,-2.321392678589361,VALID_SOLVED
1.2215668476756036e-09,14.680226943319564,1.0,-1.7735098744432184e-31,1.6291448227115887e-30,0.10886140076186382,-7.112623542403963e-21,14.084226091897541,14.680226943646256,5.889484309756192e-12,4.540361710158327,2.322664270335407,8.181888230000271e-12,1.0,1.2675630364388213e-24,2.5344215680729003e-24,0.5001389872966711,1.2486148008649205e-14,-2.3506494528646726e-09,0.05003986244730956,-0.2968704075362895,previous,8.181888230000271e-12,-177.76352906421408,4.496877189715566,-2.3213926775560485,VALID_SOLVED
4.676126152958204e-09,14.680226939257226,1.0,-5.264656100574983e-31,4.640835022984354e-30,0.11344200072834029,-2.1253613104659567e-20,14.084226088442977,14.680226940191696,1.6456082610097055e-11,4.540361707111493,2.3226642712517083,1.383779613452332e-11,1.0,1.2675630214231205e-24,2.534423218388538e-24,0.5001386557013453,7.270415296047589e-15,-6.723803736008449e-09,0.05003986255301514,-0.2968704073647575,previous,1.383779613452332e-11,-173.1992613519477,4.496877189185214,-2.3213926741955615,VALID_SOLVED
1.4655546110020623e-08,14.68022692753932,1.0,-1.4966979523988274e-30,1.3283848804909266e-29,0.11267050494023223,-6.03580625935357e-20,14.08422607846356,14.680226930212276,4.697325809415052e-11,4.5403616982058805,2.3226642740531243,2.340347319320716e-11,1.0,1.2675629784695246e-24,2.5344279389483996e-24,0.5001377072079901,6.954310282825928e-15,-1.923280201765465e-08,0.050039862855371486,-0.29687040687410743,previous,2.340347319320716e-11,-168.6349936396813,4.496877187520029,-2.321392664745772,VALID_SOLVED
6.252249917793051e-08,14.6802268746996,1.0,-9.203271792475962e-31,4.135794843440098e-29,0.022252728050748294,-2.7820249046788574e-23,14.084226030596609,14.680226882345323,1.1960042388234476e-12,4.540361652950723,2.3226642901979426,3.958163223251114e-11,1.0,1.267562737894555e-24,2.534441207009944e-24,0.5001349940131327,7.270415295504904e-15,-6.604731517256823e-08,0.05003986398694199,-0.29687040503786377,previous,3.958163223251114e-11,-164.0707259274149,4.496877179951112,-2.321392618609009,VALID_SOLVED
1.802492270996936e-07,14.680226742748763,1.0,-2.6294218337546793e-30,1.183033546629562e-28,0.022226096979632126,6.607674611828541e-23,14.084225912869881,14.680226764618595,1.2510945379700101e-12,4.540361543205828,2.322664328205817,6.694329500821697e-11,1.0,1.2675621674712366e-24,2.5344793936069183e-24,0.5001272334936282,3.7932601534587405e-15,-1.8892174047380195e-07,0.05003986695698294,-0.2968704002182603,previous,6.694329500821697e-11,-159.50645821514854,4.496877161047585,-2.321392505695688,VALID_SOLVED
5.170006840415908e-07,14.680226365310673,1.0,-7.524174959742986e-30,3.383919110709759e-28,0.022235091069197667,4.7292599454307374e-23,14.08422557611842,14.680226427867138,1.140175762145156e-12,4.540361229251437,2.32266443697302,1.132193013221996e-10,1.0,1.2675605358306486e-24,2.53458862253681e-24,0.5001050365964229,1.7385775693943e-15,-5.403917562318838e-07,0.05003987545248451,-0.2968703864322669,previous,1.132193013221996e-10,-154.94219050288217,4.4968771069375775,-2.3213921827851998,VALID_SOLVED
